name,seller,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,postalCode
BMW_325i_Aut.,privat,18000,limousine,2007,automatik,218,3er,20000,5,benzin,bmw,39179
Mercedes_Benz_E_200_CDI_Automatik_Classic,privat,3500,limousine,2004,automatik,122,e_klasse,150000,11,diesel,mercedes_benz,67071
VW_Golf_3,privat,350,,2016,manuell,75,golf,150000,4,benzin,volkswagen,19386
Opel_Kadett_E_CC,privat,1600,andere,1991,manuell,75,kadett,70000,0,,opel,2943
Renault_Kangoo_1.9_Diesel,privat,1500,,2016,,0,kangoo,150000,1,diesel,renault,46483
Abschleppwagen_Vw_LT_195.000_gruene_Plakette_TÜV_8/2017,privat,11900,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen,10551
Mercedes_Camper_D407,privat,1500,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz,22767
Suche_Opel_corsa_a_zu_verschenken,privat,0,,1990,,0,corsa,150000,1,benzin,opel,56412
E_500_Avantgarde_AMG_Ausstattung,privat,7500,limousine,2002,automatik,306,e_klasse,150000,4,,mercedes_benz,33649
BMW_E60_530XD,privat,12500,limousine,2006,automatik,231,5er,150000,11,diesel,bmw,46119
Mini_One_Pepper_Scheckheftgepflegt,privat,6990,limousine,2007,manuell,95,one,100000,8,benzin,mini,59174
Smart_For_two_Klima_regensensor_uSw,privat,3900,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart,21073
Renault_Clio_1.4,privat,590,kleinwagen,1999,manuell,75,clio,125000,8,benzin,renault,84180
BMW_120d_DPF,privat,7999,limousine,2007,manuell,177,1er,150000,8,diesel,bmw,53604
BMW_528i_touring,privat,2100,kombi,1998,automatik,193,5er,150000,2,benzin,bmw,86157
VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,7750,,2017,manuell,80,golf,100000,1,benzin,volkswagen,48499
Mercedes_Benz_B180_Automatik,privat,13500,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,35576
BMW_120i_Cabrio_mit_M_Paket,privat,14800,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,48691
Fiat_punto_5_tuerer__6_gang,privat,2000,,2017,manuell,90,punto,150000,11,diesel,fiat,66115
Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,1400,,2016,manuell,55,andere,5000,1,,hyundai,34454
Bmw_318_d_Sport_Edition_Facelift,privat,7999,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,71083
Opel_signum_1.9_cdti,privat,4700,kombi,2005,manuell,0,signum,150000,0,,opel,88433
auto_opel_astra,privat,550,kombi,1999,manuell,0,astra,150000,8,diesel,opel,56759
BMW_435i_Sport_coupe,privat,39600,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,10435
Smart_Cabrio_TÜV_bis_07/17,privat,3000,cabrio,2006,automatik,61,fortwo,80000,1,benzin,smart,12055
Seat_inca_1.9SDI___LKW_Zulassung___TÜV_NEU,privat,2399,,2018,manuell,64,andere,125000,3,,seat,33397
Volkswagen_Golf_1.6_Comfortline,privat,1000,limousine,1998,manuell,101,golf,150000,10,benzin,volkswagen,39624
TAUSCHE_BMW_E38_740i_g._SUV_/_GELÄNDEWAGEN_LESEN_LESEN,privat,1,suv,1994,manuell,286,,150000,11,,sonstige_autos,53721
Bmw_316i_compact.____200€,privat,200,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,23560
Audi_A8_3.0_TDI_quattro,privat,7499,limousine,2004,automatik,232,a8,150000,3,diesel,audi,71711
Skoda_Fabia_1.2,privat,5500,kleinwagen,2010,manuell,60,fabia,70000,4,benzin,skoda,57076
Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,privat,7000,limousine,2006,automatik,105,jetta,100000,10,diesel,volkswagen,6242
BMW_325_i_Cabrio_wenig_Kilometer,privat,14999,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,1129
Opel_Astra_1.4_mit_vielen_Extras!!!!,privat,10900,,2017,manuell,101,astra,50000,3,,opel,63607
Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,privat,9700,coupe,2008,manuell,160,scirocco,150000,8,benzin,volkswagen,55218
Honda_HRV_reserviert!!!,privat,2100,suv,2000,manuell,105,andere,150000,8,benzin,honda,85244
Mercedes_Benz_190,privat,1280,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,86163
Opel_astra_g_coupe_1.8_liter_benziner,privat,1200,coupe,2001,,0,astra,150000,0,,opel,47249
Volkswagen_Polo,privat,800,kleinwagen,1993,manuell,0,polo,150000,3,benzin,volkswagen,8258
BMW_520i_E39,privat,2300,,1997,manuell,150,5er,150000,3,,bmw,79341
Ford_Fiesta,privat,750,kleinwagen,2002,manuell,50,fiesta,150000,4,benzin,ford,70327
Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,7999,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,83355
VW_Golf_V_Plus_TDI_1_8,privat,6600,limousine,2006,manuell,105,golf,150000,10,diesel,volkswagen,41812
Nissan_Micra_1.2_CVT,privat,7999,kleinwagen,2013,manuell,80,micra,40000,4,benzin,nissan,46145
MB_Vito_Transporter_108_CDI,privat,1400,andere,2003,manuell,82,vito,150000,8,diesel,mercedes_benz,4668
Golf_4_TDi_1_9.__3_tuerig,privat,800,,2000,manuell,90,golf,150000,2,diesel,volkswagen,32584
Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._TÜV/AU_NEU,privat,5000,bus,2006,manuell,109,sprinter,150000,4,diesel,mercedes_benz,26382
Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach,privat,20300,limousine,2010,automatik,204,e_klasse,80000,12,diesel,mercedes_benz,51491
Opel_Astra_F_Cabrio,privat,150,,2016,manuell,75,astra,150000,3,benzin,opel,78315
muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,privat,250,kombi,2000,manuell,155,156,150000,0,benzin,alfa_romeo,8396
Bastler_Fahrzeug_mit_Rest_Tuev,privat,350,kleinwagen,1997,manuell,54,,150000,3,,fiat,45665
Ford_Escort_CLX,privat,600,limousine,1994,manuell,75,escort,100000,6,benzin,ford,37359
Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,3300,kombi,2005,manuell,150,c_klasse,150000,9,diesel,mercedes_benz,29221
SUBARU_FORESTER,privat,1600,kombi,1997,automatik,122,forester,150000,10,benzin,subaru,87497
Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,privat,8000,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,96472
Mitsubishi_L_400,privat,1800,bus,2001,manuell,87,andere,150000,7,diesel,mitsubishi,24116
Fiesta_Titanium_1.25,privat,6800,kleinwagen,2009,manuell,82,fiesta,60000,12,benzin,ford,51065
Renault_Scenic,privat,2990,bus,2004,manuell,113,scenic,150000,12,benzin,renault,41836
MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1€,privat,1,limousine,1995,manuell,113,e_klasse,150000,4,diesel,mercedes_benz,40589
A4_Diesel_Leder_Top___NAVI,privat,2400,limousine,2003,manuell,0,a4,150000,9,diesel,audi,40210
Senator_A2__3_0E__180PS__CD_Ausstattung.,privat,1222,limousine,1984,automatik,180,andere,150000,3,benzin,opel,57290
FORD_KA___TÜV_ABGELAUFEN,privat,250,,2000,,60,ka,150000,0,,ford,51427
Audi_A1_1.2_TFSI_S_Line,privat,14500,kleinwagen,2013,manuell,86,a1,60000,4,benzin,audi,31582
unfall_Opel_insignia_voll_Ausstattung__TÜV_neu__ideal_fuer_Bastler,privat,8390,,2009,,0,insignia,150000,0,,opel,29221
Volkswagen_Passat_1.9_TDI,privat,3850,limousine,2003,manuell,131,passat,150000,5,diesel,volkswagen,30459
BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!,privat,23490,limousine,2013,automatik,143,3er,40000,6,diesel,bmw,49356
VW_t5_kastenwagen,privat,6450,bus,2008,manuell,84,transporter,150000,12,,volkswagen,44623
Mercedes_A_Klasse____Top_Zustand___TÜV/AU___neu_!_Halbautomatik,privat,1700,kleinwagen,1999,automatik,102,a_klasse,125000,11,benzin,mercedes_benz,12305
OPEL_COMBO_2008__TÜV_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG,privat,4290,bus,2008,manuell,0,combo,150000,2,diesel,opel,23568
Ford_Focus_Turnier_1.6_TDCi_DPF,privat,1500,kombi,2006,manuell,109,focus,150000,10,diesel,ford,74223
Audi_A4_B5_1_6_Liter,privat,499,limousine,1995,manuell,101,a4,150000,5,benzin,audi,85414
Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik,privat,22999,coupe,2012,automatik,303,andere,50000,4,benzin,hyundai,88167
Audi_a4_2.5_TDI_Tausch_moeglich,privat,6500,limousine,2004,manuell,163,a4,150000,4,diesel,audi,97450
verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,privat,900,kombi,1999,manuell,125,c_klasse,150000,7,diesel,mercedes_benz,37130
BMW_316_automatikgetriebe_Klimaanlage,privat,650,limousine,1997,automatik,102,3er,150000,8,benzin,bmw,13357
Ford_Escort_Cabrio,privat,300,cabrio,1992,manuell,105,escort,150000,0,,ford,88515
Audi_TT_Coupe_1.8_T_quattro,privat,3399,coupe,1999,manuell,224,tt,150000,9,benzin,audi,61276
Volkswagen_Passat_Variant_1.6_Kombi_mit_TÜV_und_AHK,privat,1300,kombi,1997,manuell,101,passat,150000,10,benzin,volkswagen,4277
Honda_Civic_EG4,privat,900,,1995,manuell,90,civic,150000,3,benzin,honda,35789
530d_XDRIVE_235_PS,privat,7300,limousine,2009,automatik,235,5er,100000,3,diesel,bmw,83022
Opel_Astra_Twin_Top_2.0_Turbo,privat,8599,cabrio,2006,manuell,200,astra,125000,9,benzin,opel,79761
Opel_Corsa_TÜV_bis_Ende_2016,privat,350,kleinwagen,1998,,0,corsa,150000,2,benzin,opel,82110
Golf_IV_1.4_16V,privat,0,,2017,manuell,0,golf,5000,12,benzin,volkswagen,21698
Audi_A6_2_5_TDi_Quattro_Avant_Automatic__Turbo__Kombi__132_KW__2_,privat,5900,kombi,2005,automatik,178,a6,150000,1,diesel,audi,88131
Volkswagen_Golf_1.8_5V_Turbo,privat,6300,limousine,2002,manuell,265,golf,150000,3,benzin,volkswagen,56759
Volkswagen_Corrado_1.8_G60,privat,3500,coupe,1991,manuell,160,andere,150000,5,benzin,volkswagen,66111
Polo_6n_Karosse_zu_verschenken,privat,0,kleinwagen,1999,,0,,5000,0,benzin,volkswagen,37520
BMW_320d_DPF,privat,5950,limousine,2006,manuell,163,3er,150000,1,diesel,bmw,63526
Honda_Jazz_1.2_S,privat,1699,kleinwagen,2003,manuell,77,jazz,150000,8,benzin,honda,42105
Volkswagen_vw_t4_Einzelstueck,privat,4699,bus,1996,manuell,110,transporter,150000,8,benzin,volkswagen,79713
Motorschaden_steuerrichmen_gerissen,privat,400,limousine,2000,manuell,144,omega,150000,10,,opel,45968
Volkswagen_Polo_1.4_FSI_Team,privat,9290,kleinwagen,2010,manuell,86,polo,40000,5,benzin,volkswagen,35630
Mercedes_Benz_Kabrio__Limousine___mit_Gas_Umbau....,privat,7000,limousine,2003,manuell,120,slk,150000,5,benzin,mercedes_benz,57578
Servo_Klima_Zv__usw,privat,1199,kleinwagen,2000,manuell,60,twingo,150000,5,benzin,renault,28832
Ford_Focus_1_6l*Klima*TÜV*,privat,1750,limousine,2002,manuell,75,focus,125000,1,benzin,ford,33330
Volkswagen_Golf_CL,privat,1000,limousine,1990,manuell,54,golf,150000,2,benzin,volkswagen,47447
BMW_740i,privat,1800,limousine,1995,automatik,286,7er,150000,12,benzin,bmw,77866
VW_Golf_6_1.4_Comfortline,privat,8000,,2009,manuell,0,golf,100000,10,benzin,volkswagen,94139
Opel_Combo_1.7_DTI___Kasten___Lkw_Zulassung___Euro3,privat,1100,bus,2003,manuell,75,combo,150000,3,diesel,opel,96224
Mercedes_Benz_E_270_T_CDI,privat,2990,kombi,2001,automatik,170,e_klasse,150000,1,diesel,mercedes_benz,53520
Opel_Corsa_1.0_TÜV_bis_01/17,privat,300,kleinwagen,2000,manuell,54,corsa,150000,0,benzin,opel,59379
BMW_E36_328i_Coupe_Schalter,privat,3390,,2000,,0,3er,150000,2,,bmw,45739
Volkswagen_Passat,privat,2750,kombi,2001,manuell,131,passat,150000,12,diesel,volkswagen,90471
Fabia_II_Combi_Greenline_1_2_TDI_DPF_mit_Gebrauchtwagengarantie,privat,6990,kombi,2012,manuell,75,fabia,100000,5,diesel,skoda,44894
Audi_Cabriolet_Typ_89_2.0L,privat,4800,cabrio,1996,manuell,116,80,150000,6,benzin,audi,38300
Mercedes_Benz_C_220_CDI_DPF_Automatik_Avantgarde,privat,14499,limousine,2007,automatik,170,c_klasse,125000,5,diesel,mercedes_benz,13439
Audi_80_5_Zylinder_b4_liebhaberfahrzeug,privat,1450,limousine,1992,manuell,136,,150000,0,,audi,38709
Verkaufe_ein_toppen_golf5,privat,4300,limousine,2005,manuell,90,golf,150000,11,diesel,volkswagen,28779
Honda_Civic_1.6i,privat,2499,limousine,2003,manuell,110,civic,150000,12,benzin,honda,42853
Alfa_Romeo_147_1.9_JTD_8V_M_Jet__DPF,privat,3450,limousine,2007,manuell,120,147,150000,4,diesel,alfa_romeo,86678
Mercedes_Benz_C180_mit_TÜV,privat,350,limousine,1996,manuell,122,c_klasse,150000,9,benzin,mercedes_benz,49685
BMW_530d_touring,privat,3550,kombi,2000,automatik,184,5er,150000,11,diesel,bmw,72525
Sehr_gepflegter_unfallfreier_Ford_C_Max_Style+_1_6_DPF_mit_AHK,privat,8250,bus,2010,manuell,109,c_max,125000,10,diesel,ford,35606
renault_clio_TÜV_NEU_bis_03_2018_inzahlungname_moeglich,privat,800,kleinwagen,1998,manuell,54,clio,150000,11,benzin,renault,34516
Audi_A4_b5_Avant_TÜV_10/17,privat,1500,kombi,1996,manuell,126,a4,150000,0,,audi,24873
Mercedes_Benz_GLK_250_BlueTEC_4Matic_Standhzg_Alcantara_Voll,privat,41900,suv,2014,automatik,204,glk,40000,9,diesel,mercedes_benz,82131
BMW_330d_schadow_line,privat,4200,kombi,2003,automatik,204,3er,150000,1,diesel,bmw,53757
Audi_100_c3_typ_44_bj_1985_quattro_krarosse_mit_achsen,privat,150,,1985,,0,100,150000,4,benzin,audi,87616
Volkswagen_Golf_3,privat,1000,kleinwagen,1996,manuell,75,golf,150000,3,benzin,volkswagen,38640
Krankenfahrstuhl_25_kmh__zu_verkaufen.,privat,300,,2005,manuell,0,punto,40000,9,,fiat,26215
Peugeot_307_90_Grand_Filou,privat,800,limousine,2004,manuell,88,3_reihe,150000,9,benzin,peugeot,66333
Mercedes_C_200_Kompressor,privat,2300,limousine,2000,manuell,160,c_klasse,150000,5,benzin,mercedes_benz,40231
Audi_A6_Avant_2_5tdi*Navi*Automatik*Euro4*,privat,4000,kombi,2003,automatik,163,a6,150000,6,diesel,audi,22525
POLO_1.2_KILIMA_WIE_NEU,privat,6799,kleinwagen,2009,,60,,20000,5,benzin,volkswagen,89077
Opel_meriva_1.6_16_v_lpg__z16xe_no_OPC,privat,0,bus,2004,manuell,101,meriva,150000,10,lpg,opel,27432
BMW_Z4_roadster_2.2i_M_Paket__Klima__Xenon,privat,9450,cabrio,2004,manuell,170,z_reihe,150000,12,benzin,bmw,65549
Fiat_Scudo_Bulli_Werkstattwagen_Diesel,privat,0,,2006,,0,andere,5000,0,,fiat,44867
KIA_SPORTAGE,privat,14500,,2017,manuell,136,sportage,125000,5,diesel,kia,49696
Mercedes_Benz_C_270_CDI_Elegance,privat,6890,limousine,2003,manuell,170,c_klasse,125000,2,diesel,mercedes_benz,55743
Kia_Sorento__coole_Farbe_schaut......,privat,7500,suv,2007,automatik,194,sorento,5000,11,benzin,kia,34314
Volkswagen_Golf_Function,privat,800,limousine,1993,manuell,0,golf,10000,9,benzin,volkswagen,65929
A_210_Evolution_AMG_Styling_absoluter_Festpreis,privat,1499,kleinwagen,2002,manuell,140,a_klasse,150000,10,,mercedes_benz,16727
is_ales_ok,privat,500,kleinwagen,1999,manuell,0,,150000,0,benzin,renault,26969
VW_Caddy_Lkw_Zulassung,privat,1495,kombi,2001,,64,,150000,9,diesel,volkswagen,99086
Mitsubishi_Space_ohne_TÜV,privat,300,kleinwagen,1994,manuell,0,andere,150000,7,benzin,mitsubishi,26340
OPEL_astra_G_TÜV_NEU,privat,1200,,2018,manuell,75,astra,150000,0,,opel,15344
VW_Golf_CL__2er_Golf____TÜV_bis_02/2018,privat,850,limousine,1989,manuell,69,golf,125000,11,benzin,volkswagen,95485
Volkswagen_T5_Transporter,privat,8500,bus,2007,manuell,131,transporter,150000,12,diesel,volkswagen,17291
Volvo_v40_mit_klima,privat,300,kombi,1998,manuell,0,v40,150000,6,benzin,volvo,47137
Honda_Civic_1.4i,privat,1500,limousine,2000,manuell,75,civic,125000,11,benzin,honda,12163
BMW_E34_518I,privat,950,limousine,1995,manuell,115,5er,150000,0,benzin,bmw,27751
Seat_Ibiza_1.2_12V,privat,3200,kleinwagen,2004,manuell,64,ibiza,80000,2,benzin,seat,29633
Ford_C_MAX_1.6_TDCi_Titanium__7_Sitzer_Topausstattung,privat,11890,bus,2011,manuell,116,c_max,150000,4,diesel,ford,97737
BMW_323_Ci_Automatik__Sitzheizung__Sportauspuff__Alufelgen_17Zoll,privat,2900,coupe,2000,automatik,170,3er,150000,2,benzin,bmw,53332
Ford_Mustang_GT_V8_Cabrio_Premium_Neuwagenzustand,privat,19750,cabrio,2006,manuell,305,mustang,50000,7,benzin,ford,38350
Volkswagen_Eos_2.0_FSI,privat,9800,cabrio,2006,manuell,150,eos,60000,11,benzin,volkswagen,47198
Ford_Fiesta_1.4_Ghia_Klima__Scheckheft__Tuev_NEU!!,privat,1990,kleinwagen,2003,manuell,80,fiesta,125000,4,benzin,ford,13469
Mercedes_Benz_Vito_115_CDI_Extralang_DPF_Aut.,privat,10500,bus,2006,automatik,150,vito,150000,6,diesel,mercedes_benz,33729
Opel_Astra_J_Design_Edition_1.7_CDTI_ecoflex,privat,11000,limousine,2012,manuell,131,astra,70000,3,diesel,opel,34613
Opel_Sintra_2.2__7_Sitzer,privat,300,bus,1997,manuell,0,andere,150000,7,benzin,opel,24147
Mercedes_Benz_E320_Cdi_/TÜV_05.2017_//Vollaustattung,privat,2390,kombi,2000,automatik,197,e_klasse,150000,5,diesel,mercedes_benz,27474
Skoda_Fabia_Combi_1.2_TSI_DSG_Style,privat,16449,kombi,2015,automatik,110,fabia,10000,8,benzin,skoda,95502
BMW_e46_318i_touring,privat,2999,kombi,2001,manuell,0,3er,150000,7,benzin,bmw,45891
Skoda_Fabian_Automatik._Kombi_Benziner,privat,3000,,2016,automatik,75,fabia,150000,0,benzin,skoda,24782
Audi_A4___1_8_TFSI___Xenon___Scheckheft___51_tkm___TOP_Zustand,privat,14300,limousine,2011,manuell,120,a4,60000,5,benzin,audi,59494
Volkswagen_Polo_1.4_United_1._Hand,privat,5999,kleinwagen,2009,manuell,80,polo,125000,5,benzin,volkswagen,65529
Audi_A6_Avant_2.5_TDI_quattro_S_line,privat,3700,kombi,2003,automatik,179,a6,150000,11,diesel,audi,64846
Volkswagen_Touran_1.9_TDI_DPF_Navi_PDC_Tempomat_AHK_TÜV_Neu,privat,8999,bus,2007,manuell,105,touran,90000,2,diesel,volkswagen,26689
BMW_530xd_e60_EZ10/2008,privat,14000,limousine,2008,,235,,150000,0,,bmw,95131
Ford_Mustang_V8_390cui,privat,25000,coupe,1968,automatik,305,mustang,90000,11,benzin,ford,74547
Audi_80_1.8_in_tadellosem_Zustand._Erst_71.000_km!,privat,2790,limousine,1992,manuell,90,80,80000,3,benzin,audi,1219
BMW_320i_Facelift,privat,13400,limousine,2008,manuell,170,3er,100000,12,benzin,bmw,64289
Volkswagen_Golf_Plus_1.6_Goal,privat,4900,bus,2006,manuell,102,golf,150000,8,benzin,volkswagen,4288
Volkswagen_Golf_R32_4Motion_DSG,privat,11299,limousine,2006,automatik,250,golf,150000,8,benzin,volkswagen,22083
Golf_1_6_Family,privat,550,andere,1997,manuell,75,golf,150000,6,benzin,volkswagen,96175
Hyundai_Getz_1.5_CRDi_VGT_GLS,privat,1400,kleinwagen,2006,manuell,88,getz,150000,7,diesel,hyundai,51147
VW_Polo_Coupe_86c_1990Bj._125193km,privat,1200,coupe,1990,manuell,45,,150000,0,benzin,volkswagen,83317
Opel_Insignia_2.0_CDTI_Sports_Tourer_Edition,privat,9500,kombi,2011,manuell,131,insignia,150000,12,diesel,opel,31832
Volkswagen_Golf_Variant_1.9_TDI_Joker,privat,1800,kombi,1999,manuell,90,golf,150000,4,diesel,volkswagen,1920
Renault_Twingo_Lazuli_sport_1.2_16V_TÜV_2_jahre,privat,2800,,2018,manuell,75,twingo,125000,12,,renault,86199
A3_2.0_TDI_Sportback_DPF_quattro,privat,3200,kombi,2006,,0,a3,150000,11,diesel,audi,41748
***_ACHTUNG_FORD_KA_NEU_TÜV_BIS_04/2087_ZU_VERKAUFEN_***,privat,1350,kleinwagen,2002,manuell,60,ka,150000,8,benzin,ford,24103
BMW_530d_Touring_Aut._TOP_Ausstattung!!!_Rabatt_!!,privat,11000,kombi,2006,automatik,231,5er,150000,11,diesel,bmw,76332
Nissan_Almera,privat,1999,,2016,manuell,110,almera,150000,9,diesel,nissan,10997
RENAULT_MEGANE_2.0_TURBO_COUPE_CABRIO_PRIVILEG,privat,6900,cabrio,2006,manuell,163,megane,100000,1,benzin,renault,84416
BMW_730er_V8_Automatik_aus_3er_Hand_top_fahrbereit__TÜV:07.16!!!,privat,1600,limousine,1996,automatik,0,7er,150000,5,benzin,bmw,12057
Audi_A6_Avant_2.7_TDI_DPF_multitronic,privat,12999,kombi,2008,automatik,179,a6,150000,8,diesel,audi,25551
BMW_BMW_535_d_xDrive_M_Sportpaket+Head_Up+Panorama++,privat,18400,kombi,2011,automatik,313,5er,150000,11,diesel,bmw,52477
Volkswagen_Vento_1.8_CLX,privat,999,limousine,1995,manuell,75,andere,150000,10,benzin,volkswagen,76597
"Audi_A3_2.0_TDI_Sportback_DPF_S_tronic_Navi_Xenon_19""",privat,12899,kombi,2009,automatik,140,a3,150000,9,diesel,audi,51109
BMW_318d_DPF,privat,10500,limousine,2010,manuell,143,3er,150000,5,diesel,bmw,29683
Smart_smart_&_pulse_cdi_TÜV_neu,privat,2250,kleinwagen,2001,,41,fortwo,150000,10,diesel,smart,78224
Volkswagen_Golf_1.4_Trendline,privat,8500,limousine,2010,manuell,80,golf,50000,3,benzin,volkswagen,34385
"BMW_130i_LCI_M_Paket_ab_Werk_Xenon_Schiebedach_18""",privat,14900,limousine,2007,manuell,265,1er,150000,10,benzin,bmw,14129
Golf_3_75PS_Klima_Schiebedach,privat,500,kleinwagen,1994,manuell,75,golf,150000,3,benzin,volkswagen,23879
VW_Lupo_1_0_l_Tuev_6/2017_viele_Neuteile_verbaut,privat,1200,kleinwagen,2002,manuell,45,lupo,150000,9,benzin,volkswagen,38707
Audi_A3_1.8_Ambiente,privat,1250,limousine,1996,manuell,125,a3,150000,9,benzin,audi,63811
VW_Polo_Coupe_86c_in_rot__guter_Zustand__alltagsauto,privat,370,kleinwagen,1992,manuell,54,polo,125000,10,benzin,volkswagen,30926
A6_Avant_Quattro,privat,1000,kombi,1999,manuell,165,a6,150000,0,,audi,50181
AB_SOFORT_Renault_19__Chamade__R19__88PS__Ph2__TÜV_05/17,privat,350,limousine,1993,manuell,88,r19,150000,3,benzin,renault,6895
